,topics,perplexity,coherance
39,"[(0, '0.058*""class"" + 0.041*""x"" + 0.030*""b"" + 0.024*""superinterfaces"" + 0.024*""a"" + 0.024*""implement"" + 0.018*""interface"" + 0.018*""change"" + 0.018*""behavior"" + 0.018*""extends""'),    ",-5.589374003,0.45951772
,"(1, '0.064*""spec"" + 0.049*""implementation"" + 0.041*""match"" + 0.025*""fix"" + 0.025*""test"" + 0.017*""change"" + 0.017*""contradiction"" + 0.017*""example"" + 0.017*""richer"" + 0.017*""case""'),",,
,"(2, '0.027*""precedence"" + 0.027*""specification"" + 0.027*""change"" + 0.019*""take"" + 0.019*""guess"" + 0.019*""attachment"" + 0.019*""create"" + 0.019*""id"" + 0.019*""details"" + 0.019*""implementation""'),",,
,"(3, '0.078*""interface"" + 0.034*""class"" + 0.034*""order"" + 0.027*""superclass"" + 0.027*""xs"" + 0.027*""follow"" + 0.020*""n"" + 0.020*""list"" + 0.014*""return"" + 0.014*""c""'),",,
,"(4, '0.075*""superinterfaces"" + 0.056*""interface"" + 0.038*""breadthfirst"" + 0.038*""order"" + 0.038*""example"" + 0.032*""traversal"" + 0.032*""return"" + 0.032*""classs"" + 0.026*""in"" + 0.026*""target""')]",,
40,"[(0, '0.034*""firefox"" + 0.024*""email"" + 0.017*""window"" + 0.017*""web"" + 0.017*""base"" + 0.014*""enus"" + 0.014*""windows"" + 0.014*""gmail"" + 0.014*""mozilla"" + 0.014*""think""')]",-4.948096023,0.35851662
41,"[(0, '0.048*""firefox"" + 0.026*""window"" + 0.026*""enus"" + 0.026*""mozilla"" + 0.026*""nt"" + 0.026*""u"" + 0.026*""windows"" + 0.018*""email"" + 0.018*""webmail"" + 0.018*""link""'), ",-5.009196322,0.307256565
,"(1, '0.029*""base"" + 0.029*""email"" + 0.029*""web"" + 0.022*""firefox"" + 0.022*""think"" + 0.022*""gmail"" + 0.022*""would"" + 0.016*""like"" + 0.016*""service"" + 0.016*""may""')]",,
42,"[(0, '0.061*""firefox"" + 0.027*""webmail"" + 0.027*""email"" + 0.027*""link"" + 0.027*""enus"" + 0.027*""rvgecko"" + 0.027*""mozilla"" + 0.027*""window"" + 0.027*""nt"" + 0.027*""u""'),  ",-5.114906932,0.252932641
,"(1, '0.027*""firefox"" + 0.027*""think"" + 0.027*""gmail"" + 0.019*""base"" + 0.019*""email"" + 0.019*""web"" + 0.019*""like"" + 0.019*""would"" + 0.019*""webmailcompose"" + 0.019*""extension""'),",,
,"(2, '0.028*""window"" + 0.028*""gecko"" + 0.028*""web"" + 0.028*""email"" + 0.028*""base"" + 0.028*""use"" + 0.028*""account"" + 0.016*""firefox"" + 0.016*""well"" + 0.016*""nt""')]",,
43,"[(0, '0.058*""firefox"" + 0.040*""webmail"" + 0.040*""email"" + 0.040*""link"" + 0.022*""mailto"" + 0.022*""client"" + 0.022*""support"" + 0.022*""application"" + 0.022*""alone"" + 0.022*""wide""'),   ",-5.122137793,0.480061607
,"(1, '0.032*""think"" + 0.032*""firefox"" + 0.022*""gmail"" + 0.022*""like"" + 0.022*""request"" + 0.022*""bug"" + 0.022*""enhancement"" + 0.022*""webmailcompose"" + 0.022*""would"" + 0.022*""service""'),",,
,"(2, '0.043*""web"" + 0.043*""email"" + 0.043*""base"" + 0.030*""account"" + 0.030*""use"" + 0.030*""gecko"" + 0.019*""window"" + 0.017*""firefox"" + 0.017*""option"" + 0.017*""may""'),",,
,"(3, '0.054*""enus"" + 0.054*""mozilla"" + 0.054*""u"" + 0.054*""nt"" + 0.054*""windows"" + 0.052*""window"" + 0.038*""firefox"" + 0.038*""rvgecko"" + 0.038*""ax"" + 0.021*""build""')]",,
44,"[(0, '0.045*""firefox"" + 0.045*""email"" + 0.045*""link"" + 0.045*""webmail"" + 0.024*""client"" + 0.024*""application"" + 0.024*""wide"" + 0.024*""alone"" + 0.024*""number"" + 0.024*""clicked""'),    ",-5.269117894,0.394122227
,"(1, '0.035*""think"" + 0.035*""like"" + 0.035*""gmail"" + 0.035*""base"" + 0.035*""email"" + 0.035*""web"" + 0.019*""would"" + 0.019*""extension"" + 0.019*""webmailcompose"" + 0.019*""service""'),",,
,"(2, '0.034*""gecko"" + 0.034*""email"" + 0.034*""use"" + 0.034*""window"" + 0.034*""base"" + 0.034*""web"" + 0.034*""account"" + 0.019*""rv"" + 0.019*""enus"" + 0.019*""nt""'),",,
,"(3, '0.050*""fixed"" + 0.008*""would"" + 0.008*""generically"" + 0.008*""block"" + 0.008*""gecko"" + 0.008*""go"" + 0.008*""this"" + 0.008*""good"" + 0.008*""feed"" + 0.008*""well""'),",,
,"(4, '0.067*""firefox"" + 0.024*""user"" + 0.024*""window"" + 0.024*""windows"" + 0.024*""ax"" + 0.024*""u"" + 0.024*""nt"" + 0.024*""mozilla"" + 0.024*""rvgecko"" + 0.024*""enus""')]",,
45,"[(0, '0.028*""selection"" + 0.022*""layer"" + 0.020*""preview"" + 0.018*""image"" + 0.016*""use"" + 0.014*""fix"" + 0.014*""drawable"" + 0.014*""mask"" + 0.012*""gimpzoompreview"" + 0.010*""big""')]",-5.311498722,0.559803168
46,"[(0, '0.025*""fix"" + 0.023*""layer"" + 0.020*""gimpzoompreview"" + 0.015*""patch"" + 0.015*""since"" + 0.015*""could"" + 0.015*""handle"" + 0.011*""should"" + 0.011*""offset"" + 0.011*""please""'), ",-5.459063665,0.546886432
,"(1, '0.050*""selection"" + 0.031*""image"" + 0.030*""preview"" + 0.023*""drawable"" + 0.021*""layer"" + 0.021*""use"" + 0.019*""mask"" + 0.017*""big"" + 0.013*""right"" + 0.013*""one""')]",,
47,"[(0, '0.033*""fix"" + 0.021*""patch"" + 0.021*""since"" + 0.021*""layer"" + 0.021*""handle"" + 0.021*""gimpzoompreview"" + 0.015*""code"" + 0.015*""preview"" + 0.015*""should"" + 0.015*""bumping""'),  ",-5.536365748,0.538506283
,"(1, '0.057*""selection"" + 0.031*""layer"" + 0.030*""image"" + 0.026*""big"" + 0.020*""right"" + 0.020*""mask"" + 0.014*""drawable"" + 0.014*""bottom"" + 0.014*""area"" + 0.014*""plugin""'),",,
,"(2, '0.030*""preview"" + 0.030*""use"" + 0.021*""image"" + 0.019*""selection"" + 0.019*""drawable"" + 0.019*""show"" + 0.019*""one"" + 0.019*""mixer"" + 0.019*""channel"" + 0.019*""create""')]",,
48,"[(0, '0.022*""fix"" + 0.022*""please"" + 0.022*""bumping"" + 0.022*""likely"" + 0.022*""get"" + 0.022*""since"" + 0.012*""code"" + 0.012*""preview"" + 0.012*""layer"" + 0.012*""active""'),   ",-5.653923643,0.508859804
,"(1, '0.055*""selection"" + 0.032*""layer"" + 0.032*""image"" + 0.025*""big"" + 0.025*""right"" + 0.017*""drawable"" + 0.017*""mask"" + 0.017*""bottom"" + 0.017*""area"" + 0.017*""plugin""'),",,
,"(2, '0.033*""use"" + 0.033*""preview"" + 0.025*""show"" + 0.025*""selection"" + 0.025*""drawable"" + 0.017*""image"" + 0.017*""one"" + 0.017*""mask"" + 0.017*""fail"" + 0.017*""layer""'),",,
,"(3, '0.038*""gimpzoompreview"" + 0.024*""handle"" + 0.024*""layer"" + 0.024*""fix"" + 0.024*""preview"" + 0.016*""offset"" + 0.016*""patch"" + 0.016*""selection"" + 0.016*""gimpaspectpreview"" + 0.016*""image""')]",,
49,"[(0, '0.031*""since"" + 0.031*""fix"" + 0.022*""should"" + 0.022*""bumping"" + 0.022*""likely"" + 0.022*""get"" + 0.022*""please"" + 0.022*""code"" + 0.022*""preview"" + 0.012*""look""'),    ",-5.673698255,0.457657719
,"(1, '0.046*""selection"" + 0.046*""image"" + 0.037*""big"" + 0.028*""right"" + 0.019*""drawable"" + 0.019*""mask"" + 0.019*""bottom"" + 0.019*""plugin"" + 0.019*""wrong"" + 0.019*""layer""'),",,
,"(2, '0.036*""preview"" + 0.024*""one"" + 0.024*""image"" + 0.024*""create"" + 0.024*""details"" + 0.024*""attachment"" + 0.024*""id"" + 0.013*""bug"" + 0.013*""show"" + 0.013*""use""'),",,
,"(3, '0.058*""gimpzoompreview"" + 0.036*""handle"" + 0.024*""layer"" + 0.024*""fix"" + 0.024*""offset"" + 0.024*""selection"" + 0.024*""patch"" + 0.024*""gimpaspectpreview"" + 0.013*""mask"" + 0.013*""preview""'),",,
,"(4, '0.050*""layer"" + 0.040*""selection"" + 0.031*""use"" + 0.031*""preview"" + 0.031*""intersection"" + 0.031*""drawable"" + 0.021*""follow"" + 0.021*""active"" + 0.021*""channel"" + 0.021*""picture""')]",,
50,"[(0, '0.029*""set"" + 0.025*""dialog"" + 0.023*""scale"" + 0.021*""remember"" + 0.019*""setting"" + 0.017*""default"" + 0.015*""last"" + 0.015*""image"" + 0.015*""preference"" + 0.013*""bug""')]",-5.206739985,0.339015534
51,"[(0, '0.018*""bug"" + 0.018*""set"" + 0.016*""default"" + 0.013*""please"" + 0.013*""use"" + 0.013*""suggestion"" + 0.013*""gimpscalecallback"" + 0.013*""scaling"" + 0.013*""option"" + 0.013*""clutter""'), ",-5.28650506,0.446965437
,"(1, '0.035*""set"" + 0.035*""scale"" + 0.034*""dialog"" + 0.032*""remember"" + 0.029*""setting"" + 0.023*""last"" + 0.020*""preference"" + 0.019*""change"" + 0.018*""default"" + 0.017*""image""')]",,
52,"[(0, '0.028*""bug"" + 0.019*""gimpscalecallback"" + 0.019*""use"" + 0.019*""please"" + 0.011*""set"" + 0.011*""option"" + 0.011*""would"" + 0.011*""suggestion"" + 0.011*""clutter"" + 0.011*""appactionsactionstypesh""'),  ",-5.371739899,0.453368685
,"(1, '0.042*""set"" + 0.033*""setting"" + 0.033*""dialog"" + 0.029*""scale"" + 0.025*""remember"" + 0.025*""preference"" + 0.025*""last"" + 0.021*""change"" + 0.021*""entry"" + 0.017*""default""'),",,
,"(2, '0.029*""scale"" + 0.029*""remember"" + 0.028*""image"" + 0.022*""dialog"" + 0.022*""resize"" + 0.022*""default"" + 0.022*""set"" + 0.015*""scaling"" + 0.015*""want"" + 0.015*""always""')]",,
53,"[(0, '0.028*""set"" + 0.020*""please"" + 0.020*""suggestion"" + 0.020*""gimpscalecallback"" + 0.020*""use"" + 0.020*""clutter"" + 0.020*""defaults"" + 0.020*""button"" + 0.020*""think"" + 0.020*""would""'),   ",-5.42025542,0.340462278
,"(1, '0.051*""set"" + 0.040*""dialog"" + 0.040*""setting"" + 0.035*""preference"" + 0.034*""last"" + 0.029*""entry"" + 0.027*""remember"" + 0.024*""change"" + 0.023*""save"" + 0.023*""need""'),",,
,"(2, '0.041*""scale"" + 0.032*""image"" + 0.022*""dialog"" + 0.022*""time"" + 0.022*""default"" + 0.022*""want"" + 0.022*""new"" + 0.016*""remember"" + 0.012*""without"" + 0.012*""user""'),",,
,"(3, '0.034*""bug"" + 0.034*""scale"" + 0.034*""remember"" + 0.026*""image"" + 0.026*""way"" + 0.026*""unit"" + 0.018*""default"" + 0.018*""preferences"" + 0.018*""setting"" + 0.018*""set""')]",,
54,"[(0, '0.038*""bug"" + 0.026*""image"" + 0.026*""time"" + 0.026*""set"" + 0.014*""camps"" + 0.014*""button"" + 0.014*""solution"" + 0.014*""good"" + 0.014*""defaults"" + 0.014*""think""'),    ",-5.572101763,0.391309596
,"(1, '0.049*""set"" + 0.042*""setting"" + 0.042*""dialog"" + 0.035*""last"" + 0.035*""preference"" + 0.034*""entry"" + 0.029*""change"" + 0.028*""save"" + 0.027*""need"" + 0.022*""default""'),",,
,"(2, '0.052*""scale"" + 0.034*""dialog"" + 0.032*""remember"" + 0.032*""image"" + 0.032*""resize"" + 0.019*""setting"" + 0.017*""default"" + 0.017*""want"" + 0.017*""new"" + 0.017*""become""'),",,
,"(3, '0.036*""unit"" + 0.036*""scale"" + 0.025*""remember"" + 0.025*""image"" + 0.025*""if"" + 0.025*""dialogs"" + 0.025*""percent"" + 0.025*""dialog"" + 0.014*""way"" + 0.014*""preferences""'),",,
,"(4, '0.039*""set"" + 0.024*""would"" + 0.024*""remember"" + 0.024*""way"" + 0.016*""button"" + 0.016*""please"" + 0.016*""clutter"" + 0.016*""right"" + 0.016*""jaap"" + 0.016*""default""')]",,
55,"[(0, '0.025*""image"" + 0.015*""bit"" + 0.012*""use"" + 0.012*""palette"" + 0.009*""fast"" + 0.009*""bug"" + 0.008*""convert"" + 0.008*""option"" + 0.008*""white"" + 0.008*""operation""')]",-5.822145667,0.407964371
56,"[(0, '0.029*""image"" + 0.014*""convert"" + 0.014*""operation"" + 0.014*""conversion"" + 0.014*""grayscale"" + 0.014*""actually"" + 0.013*""color"" + 0.013*""use"" + 0.011*""palette"" + 0.010*""bit""'), ",-5.947348732,0.450928252
,"(1, '0.021*""image"" + 0.020*""bit"" + 0.016*""bug"" + 0.016*""fast"" + 0.012*""palette"" + 0.011*""use"" + 0.010*""though"" + 0.010*""pure"" + 0.010*""option"" + 0.010*""expect""')]",,
57,"[(0, '0.025*""image"" + 0.015*""palette"" + 0.015*""gimpimageconvertc"" + 0.011*""conversion"" + 0.011*""convert"" + 0.011*""grayscale"" + 0.011*""give"" + 0.011*""speedup"" + 0.011*""mono"" + 0.011*""patch""'),  ",-6.036038626,0.452482077
,"(1, '0.035*""bit"" + 0.028*""bug"" + 0.020*""image"" + 0.016*""fast"" + 0.013*""think"" + 0.013*""palette"" + 0.013*""use"" + 0.013*""case"" + 0.013*""slow"" + 0.009*""im""'),",,
,"(2, '0.028*""image"" + 0.017*""use"" + 0.014*""operation"" + 0.014*""actually"" + 0.014*""color"" + 0.012*""expect"" + 0.012*""memory"" + 0.012*""white"" + 0.012*""option"" + 0.012*""black""')]",,
58,"[(0, '0.030*""image"" + 0.019*""palette"" + 0.019*""conversion"" + 0.013*""convert"" + 0.013*""grayscale"" + 0.013*""give"" + 0.013*""speedup"" + 0.013*""mono"" + 0.013*""patch"" + 0.013*""fast""'),   ",-6.100241743,0.480383106
,"(1, '0.042*""bit"" + 0.022*""image"" + 0.017*""fast"" + 0.017*""think"" + 0.017*""use"" + 0.012*""slow"" + 0.012*""palette"" + 0.012*""case"" + 0.012*""wether"" + 0.012*""colormap""'),",,
,"(2, '0.030*""image"" + 0.018*""color"" + 0.016*""use"" + 0.015*""expect"" + 0.015*""pure"" + 0.015*""option"" + 0.014*""white"" + 0.014*""black"" + 0.011*""threshold"" + 0.011*""palette""'),",,
,"(3, '0.028*""memory"" + 0.028*""operation"" + 0.022*""bug"" + 0.022*""internal"" + 0.017*""requirements"" + 0.016*""actually"" + 0.015*""image"" + 0.012*""may"" + 0.012*""mean"" + 0.012*""attach""')]",,
59,"[(0, '0.047*""image"" + 0.021*""conversion"" + 0.021*""color"" + 0.014*""slow"" + 0.014*""however"" + 0.014*""revision"" + 0.014*""black"" + 0.014*""white"" + 0.008*""option"" + 0.008*""fix""'),    ",-6.100680839,0.459729815
,"(1, '0.054*""bit"" + 0.025*""image"" + 0.025*""fast"" + 0.013*""think"" + 0.013*""palette"" + 0.013*""bug"" + 0.013*""use"" + 0.013*""different"" + 0.013*""value"" + 0.013*""wether""'),",,
,"(2, '0.020*""expect"" + 0.020*""pure"" + 0.019*""threshold"" + 0.015*""image"" + 0.015*""use"" + 0.015*""option"" + 0.015*""palette"" + 0.015*""comparatively"" + 0.010*""white"" + 0.010*""black""'),",,
,"(3, '0.031*""memory"" + 0.025*""bug"" + 0.025*""internal"" + 0.025*""operation"" + 0.019*""image"" + 0.019*""requirements"" + 0.019*""actually"" + 0.013*""im"" + 0.013*""may"" + 0.013*""mean""'),",,
,"(4, '0.022*""image"" + 0.022*""grayscale"" + 0.015*""convert"" + 0.015*""palette"" + 0.015*""mono"" + 0.015*""speedup"" + 0.015*""large"" + 0.015*""give"" + 0.015*""rgb"" + 0.015*""id""')]",,
60,"[(0, '0.018*""screenshot"" + 0.018*""screen"" + 0.016*""window"" + 0.013*""functionality"" + 0.013*""select"" + 0.013*""plugin"" + 0.011*""time"" + 0.011*""grab"" + 0.011*""win"" + 0.011*""platform""')]",-5.357365247,0.48789753
61,"[(0, '0.019*""win"" + 0.014*""support"" + 0.014*""case"" + 0.013*""work"" + 0.013*""issue"" + 0.013*""bug"" + 0.013*""expect"" + 0.013*""sven"" + 0.013*""results"" + 0.013*""time""'), ",-5.550121061,0.558379676
,"(1, '0.028*""screen"" + 0.025*""window"" + 0.025*""screenshot"" + 0.017*""functionality"" + 0.017*""plugin"" + 0.017*""grab"" + 0.013*""select"" + 0.013*""platform"" + 0.013*""user"" + 0.013*""development""')]",,
62,"[(0, '0.022*""win"" + 0.022*""screenshot"" + 0.015*""two"" + 0.015*""support"" + 0.015*""bug"" + 0.015*""expect"" + 0.015*""entry"" + 0.015*""time"" + 0.015*""sven"" + 0.015*""case""'),  ",-5.686293038,0.513992189
,"(1, '0.034*""screen"" + 0.023*""functionality"" + 0.023*""grab"" + 0.018*""select"" + 0.013*""implement"" + 0.013*""window"" + 0.013*""time"" + 0.013*""region"" + 0.013*""perhaps"" + 0.013*""want""'),",,
,"(2, '0.030*""screenshot"" + 0.030*""window"" + 0.021*""plugin"" + 0.021*""delay"" + 0.021*""however"" + 0.021*""incomplete"" + 0.012*""user"" + 0.012*""optionally"" + 0.012*""again"" + 0.012*""pluginscommonmakefileam""')]",,
63,"[(0, '0.022*""bug"" + 0.022*""sven"" + 0.022*""case"" + 0.012*""know"" + 0.012*""addition"" + 0.012*""extralibs"" + 0.012*""only"" + 0.012*""introduce"" + 0.012*""pluginscommonmkgenpl"" + 0.012*""parameter""'),   ",-5.759344417,0.535463595
,"(1, '0.054*""screen"" + 0.037*""grab"" + 0.028*""shot"" + 0.019*""select"" + 0.019*""entry"" + 0.019*""two"" + 0.019*""functionality"" + 0.019*""volunteer"" + 0.019*""region"" + 0.019*""different""'),",,
,"(2, '0.037*""incomplete"" + 0.021*""screenshot"" + 0.021*""know"" + 0.021*""port"" + 0.021*""aware"" + 0.021*""obviously"" + 0.021*""reproduce"" + 0.021*""step"" + 0.021*""set"" + 0.021*""results""'),",,
,"(3, '0.025*""window"" + 0.025*""platform"" + 0.019*""screenshot"" + 0.019*""plugin"" + 0.019*""win"" + 0.019*""functionality"" + 0.019*""support"" + 0.019*""select"" + 0.013*""implement"" + 0.013*""perhaps""')]",,
64,"[(0, '0.032*""bug"" + 0.032*""sven"" + 0.018*""revert"" + 0.018*""know"" + 0.018*""addition"" + 0.018*""extralibs"" + 0.018*""introduce"" + 0.018*""only"" + 0.018*""pluginscommonmkgenpl"" + 0.018*""alert""'),    ",-5.843828165,0.500550516
,"(1, '0.050*""screen"" + 0.040*""grab"" + 0.021*""volunteer"" + 0.021*""region"" + 0.021*""select"" + 0.021*""development"" + 0.021*""functionality"" + 0.021*""shot"" + 0.021*""broken"" + 0.021*""time""'),",,
,"(2, '0.026*""incomplete"" + 0.026*""know"" + 0.026*""port"" + 0.026*""reproduce"" + 0.026*""step"" + 0.026*""set"" + 0.026*""plugin"" + 0.026*""screenshot"" + 0.026*""information"" + 0.026*""window""'),",,
,"(3, '0.031*""window"" + 0.031*""platform"" + 0.024*""functionality"" + 0.024*""win"" + 0.024*""select"" + 0.016*""plugin"" + 0.016*""implement"" + 0.016*""support"" + 0.016*""want"" + 0.016*""probably""'),",,
,"(4, '0.023*""screenshot"" + 0.023*""entry"" + 0.023*""two"" + 0.023*""case"" + 0.023*""good"" + 0.023*""note"" + 0.023*""perhaps"" + 0.013*""fileacquirescreenshot"" + 0.013*""build"" + 0.013*""different""')]",,
65,"[(0, '0.027*""export"" + 0.021*""html"" + 0.015*""object"" + 0.014*""graph"" + 0.012*""create"" + 0.012*""webkit"" + 0.012*""file"" + 0.012*""save"" + 0.012*""gtkhtml"" + 0.010*""gog""')]",-5.391271883,0.583271919
66,"[(0, '0.027*""export"" + 0.024*""graph"" + 0.024*""report"" + 0.019*""also"" + 0.019*""still"" + 0.019*""status"" + 0.019*""this"" + 0.016*""webkit"" + 0.014*""convert"" + 0.014*""use""'), ",-5.566967703,0.515371721
,"(1, '0.027*""export"" + 0.025*""html"" + 0.022*""object"" + 0.016*""gtkhtml"" + 0.016*""save"" + 0.014*""create"" + 0.014*""file"" + 0.013*""support"" + 0.013*""enhancement"" + 0.013*""tag""')]",,
67,"[(0, '0.042*""export"" + 0.026*""also"" + 0.026*""still"" + 0.026*""status"" + 0.018*""graph"" + 0.018*""convert"" + 0.018*""this"" + 0.018*""feature"" + 0.018*""valid"" + 0.018*""webkit""'),  ",-5.644504085,0.507279505
,"(1, '0.031*""html"" + 0.027*""object"" + 0.022*""gtkhtml"" + 0.018*""export"" + 0.018*""file"" + 0.018*""support"" + 0.018*""create"" + 0.018*""gog"" + 0.018*""graph"" + 0.014*""save""'),",,
,"(2, '0.028*""export"" + 0.022*""problem"" + 0.022*""enhancement"" + 0.022*""reports"" + 0.015*""able"" + 0.015*""real"" + 0.015*""time"" + 0.015*""anymore"" + 0.015*""brought"" + 0.015*""higher""')]",,
68,"[(0, '0.045*""export"" + 0.034*""also"" + 0.024*""convert"" + 0.024*""feature"" + 0.024*""graph"" + 0.013*""html"" + 0.013*""img"" + 0.013*""gog"" + 0.013*""webkit"" + 0.013*""save""'),   ",-5.65787817,0.445369042
,"(1, '0.043*""html"" + 0.031*""gtkhtml"" + 0.031*""object"" + 0.025*""file"" + 0.025*""create"" + 0.019*""report"" + 0.019*""graph"" + 0.019*""gnucash"" + 0.019*""save"" + 0.019*""support""'),",,
,"(2, '0.029*""export"" + 0.020*""object"" + 0.020*""problem"" + 0.020*""webkit"" + 0.020*""able"" + 0.020*""time"" + 0.020*""real"" + 0.020*""reports"" + 0.020*""reminder"" + 0.020*""keep""'),",,
,"(3, '0.030*""export"" + 0.023*""enhancement"" + 0.023*""diagram"" + 0.016*""this"" + 0.016*""still"" + 0.016*""print"" + 0.016*""postscript"" + 0.016*""normal"" + 0.016*""version"" + 0.016*""status""')]",,
69,"[(0, '0.031*""also"" + 0.031*""convert"" + 0.031*""feature"" + 0.031*""graph"" + 0.031*""webkit"" + 0.031*""port"" + 0.017*""use"" + 0.017*""rather"" + 0.017*""gnchtmlgtkhtml"" + 0.017*""two""'),    ",-5.72911466,0.439122561
,"(1, '0.044*""html"" + 0.037*""gtkhtml"" + 0.037*""object"" + 0.023*""save"" + 0.023*""file"" + 0.023*""create"" + 0.023*""support"" + 0.023*""gog"" + 0.016*""webkit"" + 0.016*""tag""'),",,
,"(2, '0.030*""time"" + 0.030*""anymore"" + 0.030*""brought"" + 0.030*""higher"" + 0.030*""tag"" + 0.030*""enhancement"" + 0.017*""file"" + 0.017*""save"" + 0.017*""foojpg"" + 0.017*""first""'),",,
,"(3, '0.055*""export"" + 0.028*""reports"" + 0.020*""problem"" + 0.020*""this"" + 0.020*""still"" + 0.020*""real"" + 0.020*""version"" + 0.020*""valid"" + 0.020*""status"" + 0.020*""able""'),",,
,"(4, '0.035*""export"" + 0.027*""report"" + 0.027*""html"" + 0.027*""go"" + 0.018*""graph"" + 0.018*""enhancement"" + 0.018*""gnucash"" + 0.018*""reminder"" + 0.018*""keep"" + 0.018*""anything""')]",,
70,"[(0, '0.024*""file"" + 0.019*""conn"" + 0.019*""directory"" + 0.019*""response"" + 0.013*""const"" + 0.011*""patch"" + 0.011*""error"" + 0.011*""ftpconnection"" + 0.010*""look"" + 0.010*""like""')]",-5.545325302,0.552618897
71,"[(0, '0.035*""file"" + 0.029*""conn"" + 0.029*""response"" + 0.028*""directory"" + 0.020*""const"" + 0.015*""handlers"" + 0.014*""look"" + 0.013*""ftpconnection"" + 0.013*""use"" + 0.013*""nautilus""'), ",-5.694029656,0.552441482
,"(1, '0.019*""get"" + 0.017*""patch"" + 0.016*""error"" + 0.016*""varargs"" + 0.016*""static"" + 0.016*""handler"" + 0.013*""void"" + 0.013*""ftp"" + 0.012*""like"" + 0.012*""fix""')]",,
72,"[(0, '0.040*""file"" + 0.036*""conn"" + 0.035*""response"" + 0.025*""directory"" + 0.024*""const"" + 0.018*""ftpconnection"" + 0.018*""handlers"" + 0.016*""patch"" + 0.015*""look"" + 0.015*""ftpfile""'),  ",-5.783397897,0.569453092
,"(1, '0.024*""static"" + 0.019*""handler"" + 0.019*""error"" + 0.019*""get"" + 0.019*""void"" + 0.013*""varargs"" + 0.013*""like"" + 0.013*""too"" + 0.013*""ftp"" + 0.013*""format""'),",,
,"(2, '0.019*""error"" + 0.019*""fix"" + 0.019*""nautilus"" + 0.013*""think"" + 0.013*""branch"" + 0.013*""trunk"" + 0.013*""details"" + 0.013*""create"" + 0.013*""id"" + 0.013*""attachment""')]",,
73,"[(0, '0.052*""conn"" + 0.047*""response"" + 0.046*""file"" + 0.035*""const"" + 0.031*""directory"" + 0.026*""handlers"" + 0.022*""ftpconnection"" + 0.022*""ftpfile"" + 0.014*""guint"" + 0.014*""use""'),   ",-5.81889978,0.508312956
,"(1, '0.029*""get"" + 0.024*""error"" + 0.020*""varargs"" + 0.020*""format"" + 0.020*""too"" + 0.020*""flag"" + 0.020*""responsepass"" + 0.019*""errorisdirectory"" + 0.011*""ftp"" + 0.011*""it""'),",,
,"(2, '0.022*""error"" + 0.022*""fix"" + 0.022*""nautilus"" + 0.015*""think"" + 0.015*""trunk"" + 0.015*""branch"" + 0.015*""varargs"" + 0.015*""gvfsftpreaddirectorypatch"" + 0.015*""directory"" + 0.015*""return""'),",,
,"(3, '0.026*""like"" + 0.022*""file"" + 0.021*""bug"" + 0.021*""static"" + 0.021*""look"" + 0.016*""patch"" + 0.016*""directory"" + 0.016*""handler"" + 0.016*""void"" + 0.016*""this""')]",,
74,"[(0, '0.059*""conn"" + 0.053*""file"" + 0.039*""const"" + 0.035*""directory"" + 0.030*""response"" + 0.030*""handlers"" + 0.025*""ftpconnection"" + 0.025*""ftpfile"" + 0.015*""guint"" + 0.015*""check""'),    ",-5.818558229,0.471355585
,"(1, '0.070*""response"" + 0.036*""get"" + 0.025*""too"" + 0.014*""ftp"" + 0.014*""varargs"" + 0.014*""kind"" + 0.014*""opensuse"" + 0.014*""servers"" + 0.014*""whenever"" + 0.014*""happen""'),",,
,"(2, '0.018*""fix"" + 0.018*""branch"" + 0.018*""trunk"" + 0.018*""think"" + 0.018*""varargs"" + 0.018*""gvfsftpreaddirectorypatch"" + 0.018*""error"" + 0.018*""nautilus"" + 0.018*""return"" + 0.010*""get""'),",,
,"(3, '0.031*""static"" + 0.026*""file"" + 0.024*""bug"" + 0.024*""directory"" + 0.024*""error"" + 0.024*""handler"" + 0.024*""void"" + 0.017*""nautilus"" + 0.017*""gioerrorisdirectory"" + 0.017*""gseterror""'),",,
,"(4, '0.035*""like"" + 0.035*""look"" + 0.035*""patch"" + 0.029*""code"" + 0.022*""this"" + 0.022*""would"" + 0.015*""want"" + 0.015*""it"" + 0.015*""please"" + 0.015*""review""')]",,
75,"[(0, '0.020*""widget"" + 0.015*""gtkfontselectiondialog"" + 0.015*""access"" + 0.015*""gtkadjustment"" + 0.015*""list"" + 0.013*""gtkgammacurve"" + 0.013*""combo"" + 0.013*""gtkclist"" + 0.011*""gtkwidget"" + 0.011*""also""')]",-5.371278858,0.61110832
76,"[(0, '0.030*""widget"" + 0.025*""gtkfontselectiondialog"" + 0.025*""gtkadjustment"" + 0.022*""access"" + 0.018*""combo"" + 0.018*""list"" + 0.014*""make"" + 0.014*""would"" + 0.014*""function"" + 0.014*""also""'), ",-5.579075895,0.590222294
,"(1, '0.027*""gtkclist"" + 0.026*""gtkgammacurve"" + 0.022*""gtkcolorselectiondialog"" + 0.022*""gtkwidget"" + 0.017*""already"" + 0.017*""deprecated"" + 0.012*""list"" + 0.012*""use"" + 0.012*""accessor"" + 0.012*""functions""')]",,
